ID;Datenpunkt;Wert-Typ;Quelle-Klasse;Zugriffspfad;Zugriffsart;Mod nutzt;UI-Kandidat;Status;Lücke;ModVerifiziert
MZ.1_SEKTOR-TIEFE;Sektor-Tiefe fehlt komplett (F1-F7 EXISTIERT NICHT);ModArchitecture;Mod-Code (101 core/.java);Recipe-Graph, Sektor-Klassifikation, Leontief;static;nein;nein;[!];Alle 7 F1-F7 HEBELs identifiziert -- Mod rechnet mit Angebot/Nachfrage OHNE Verstaendnis was aus was hergestellt wird (ResourceRecipeIndex, Topo-Sort, Branching, Leontief-Inverse, Sektor-Klassifikation RAW/PROCESSED/LUXURY, valueMultiplier, defaultScarcity). Konsequenz: Industry-Output wird als black-box in FlowMeter aggregiert -- Preise-zu-Sektor-Risiko nicht modelliert.;??
MZ.2_BOOSTER-COVERAGE;Booster-Coverage 3 von 402;EngineAPI;BOOSTABLES (Engine);Boostable-Verteilung;static;ja-3/402;ja;[x];Engine bietet 402 Verhaltens-Hebel. Mod nutzt nur LOYALTY (GiniConsequences.java), IMMIGRATION (MeticImmigration.register()) und GOV (EconProgression.adminBoostActive). Verbleibende 399 Booster als 'public final' in Engine vorhanden aber toter Code fuer den Mod. I8 BEHAVIOUR: 5 von 6 ungenutzt (LAWFULNESS/SUBMISSION/HAPPI/HAPPI_SLAVES/SANITY). I9 PHYSICS: 11 von 11 ignoriert. I10 NOBLE: 6 von 6 ungenutzt. I11 EQUIP: 32 Tool-Booster ohne Werkzeug-Produktivitaetskopplung.;??
MZ.3_TRADE_LAW_LUECKEN;Trade-System umgangen + StatsLaw ungenutzt;ModArchitecture;Mod-Code;SettlementLayer + StatsLaw;static;nein;nein;[!];TradeManager/SettTrade/PBuyer/PSeller komplett umgangen -- Mod-Settlement via Fiscal.settlePurchase (C8 Rebuttal: Mod-Pfad ersetzt bewusst Engine-Trade-Layer). Trade-Toll laeuft parallel -- Doppelhandelskosten moeglich. StatsLaw lesbar (alle 5 HEBEL K1-K5 + K6 CRIMES public final) aber komplett ignoriert. Mod implementiert CorveeController/PovertyPressure/HealthPressure als Ersatz.;??
A1;price-Array Override;double[];ResourcePrices;price[TR.ALL().size()];static;nein;nein;[x];Mod-Polity-Layer statt Override;??
A1;get(TRADABLE) public;public;ResourcePrices;get(TRADABLE);static;ja;ja;[x];Aufgerufen in PolityPriceAnchor.priceOf();++
A2;lastCheck[] cache;int[];ResourcePrices;lastCheck[];static;nein;nein;[x];Mod ignoriert (FlowPrices.refresh());??
A2;16-Update-Refresh-Intervall;Math.abs;ResourcePrices;Math.abs(lastCheck - GAME.updateI()) > 16;static;nein;nein;[x];Mod-scarcityRefreshDays=60 statt;??
A3;AVERAGE_PRICE = 400;int 400;NPCStockpile;AVERAGE_PRICE;static;nein;nein;[x];Mod-priceClampHi=100 = 25% davon;++
A3;GAME_THEORY = 20;int 20;NPCStockpile;GAME_THEORY;static;nein;nein;[x];5% von 400;??
A3;NPCRes.priceBase;int;NPCRes;priceBase() = 400/totRate + 20;static;nein;nein;[x];Mod hat PolityPriceAnchor stattdessen;??
A4;PolityPriceAnchor.priceOf;int;PolityPriceAnchor;priceOf(RESOURCE);static;ja;ja;[x];Mod-Quelle für alle Preise;++
A4;FACTIONS.PRICE().get-Fallback;double;PolityPriceAnchor;FACTIONS.PRICE().get();static;ja;ja;[x];statischer Lookup;++
A5;refresh Alle 60 Tage;void;FlowPrices;refresh();static;ja;ja;[x];flowPriceRefreshDays=60;++
A5;localPrice = anchor*pow;double;FlowPrices;anchor * pow(COVERAGE_FLOOR=0.005, coverage), -elasticity;static;ja;ja;[x];UP-Branch bei coverage<1.0;++
A5;FlowPrices.price(good);double;FlowPrices;price(good);direct;ja;ja;[x];Refresh flowPriceRefreshDays=0.2 Tage;++
A5;FlowPrices.anchor(good);double;FlowPrices;anchor(good);direct;ja;ja;[x];Quelle: PolityPriceAnchor.priceOf();++
A5;FlowPrices.coverage(good);double;FlowPrices;coverage(good);direct;ja;ja;[x];effectiveCoverage mit Lookahead;++
A6;LocalPrices.scarcity();double;LocalPrices;scarcity(perCapita, target);static;ja;ja;[x];TANH-basiert mit Cap 1.5/0.5;++
A6;TANH-Formel -tanh(log);double;LocalPrices;pow(1.5, -tanh(log(perCapita/target)/1.0));static;ja;ja;[x];Formula explizit;++
A6;scarcityMaxMultiple = 1.5;double;EconConfig;scarcityMaxMultiple;static;ja;ja;[x];EconConfig.java:354;++
A6;scarcitySteepness = 1.0;double;EconConfig;scarcitySteepness;static;ja;ja;[x];EconConfig.java:355;++
A7;LocalPrices.foodBasketPrice();int;LocalPrices;foodBasketPrice(tick);static;ja;ja;[x];Cached Math.abs(tick - lastRefreshTick);++
A7;LocalPrices.foodBasketPrice (Flow);int;LocalPrices;flowFoodBasketPrice();static;ja;ja;[x];Nutzt FlowPrices wenn aktiv sonst FACTIONS.PRICE();++
A7;LocalPrices.foodBasketPrice (Vanilla);int;LocalPrices;foodBasketPrice(tick);static;partial;ja;[x];Cached — scarcityRefreshDays Intervall;++
A7;LocalPrices.drinkBasketPrice;int;LocalPrices;drinkBasketPrice(tick);static;ja;ja;[x];Analog Food Basket;++
A7;LocalPrices.mealPrice;int;LocalPrices;mealPrice(population, tick);static;ja;ja;[x];Flow-first Fallback auf Vanilla;++
A8;TANH-Ceiling-Maximum 1.5x;double;LocalPrices;scarcity() min cap;static;ja;ja;[x];globaler Multiplikator;++
A8;TANH-Minimum 0.5x;double;LocalPrices;scarcity() floor;static;ja;ja;[x];bei hoher Ueberdeckung;++
A9;FlowMeter window;double;FlowMeter;window = smoothingDays ?: elapsedDays;instance;ja;ja;[~];flowSmoothingDays=1.0 default;++
A10;lookaheadDays = 1.0;double;FlowPrices;lookaheadDays;static;ja;ja;[x];EconConfig.java:329, NICHT 7;++
A11;priceClampHi = 100.0;double;EconConfig;priceClampHi;static;ja;ja;[x];25% NPCStockpile.AVERAGE_PRICE;++
A12;UP=0.8 DOWN=1.375 Asymmetrie;double;FlowPrices;upMul / downMul;static;ja;ja;[x];INTENTIONAL Ueberschuss-Korrektur;++
A13;scarcityPriceBoost = 0.3;double;FlowPrices;scarcityPriceBoost;static;ja;ja;[x];multiplikativ price *= 1 + s*0.3;++
A14;scarcityMaxMultiple=1.5;double;EconConfig;scarcityMaxMultiple;static;ja;ja;[x];TANH-Ceiling knappheits-agnostisch;++
B1;FCredits.credits();double;FCredits;credits();instance;ja;ja;[x];int-cast Sub-Denar-Verlust;++
B1;FCredits.getD();double;FCredits;getD();instance;ja;ja;[x];Getter-Pendant;++
B1;FCredits.inc(amount, CTYPE);void;FCredits;inc(amount, CTYPE);instance;ja;ja;[x];Mod-Schnittstelle;++
