ID;Datenpunkt;Wert-Typ;Quelle-Klasse;Zugriffspfad;Zugriffsart;Mod nutzt;UI-Kandidat;Status;Lücke;ModVerifiziert
MZ.1_SEKTOR-TIEFE;Sektor-Tiefe fehlt komplett (F1-F7 EXISTIERT NICHT);ModArchitecture;Mod-Code (111 core/.java);Recipe-Graph, Sektor-Klassifikation, Leontief;static;nein;nein;[!];Alle 7 F1-F7 HEBELs identifiziert -- Mod rechnet mit Angebot/Nachfrage OHNE Verstaendnis was aus was hergestellt wird (ResourceRecipeIndex, Topo-Sort, Branching, Leontief-Inverse, Sektor-Klassifikation RAW/PROCESSED/LUXURY, valueMultiplier, defaultScarcity). Konsequenz: Industry-Output wird als black-box in FlowMeter aggregiert -- Preise-zu-Sektor-Risiko nicht modelliert.;??
MZ.2_BOOSTER-COVERAGE;Booster-Coverage 16 von 402 (v0.13.64);EngineAPI;BOOSTABLES (Engine);Boostable-Verteilung;static;ja-16/402;ja;[x];EngineMirror SDK (v0.13.64) bündelt 16 BOOSTABLES-Zugriffe ueber IStatsAccess (StatsAccessImpl, 265 LOC). Direkte Mod-Writer: LOYALTY (GiniConsequences), IMMIGRATION (MeticImmigration), GOV (EconProgression). Plus: 96 boolean Toggles in EngineLevers (285 LOC) fuer granulare Degradation. I8 BEHAVIOUR: LOYALTY aktiv, 5 andere via EngineMirror lesbar. I9 PHYSICS: 11 via IStatsAccess erreichbar. I10 NOBLE: 6 via IStatsAccess lesbar. I11 EQUIP: 32 Tool-Booster via EngineMirror.;v0.13.64
MZ.3_TRADE_LAW_LUECKEN;Trade-System umgangen + StatsLaw ungenutzt;ModArchitecture;Mod-Code;SettlementLayer + StatsLaw;static;nein;nein;[!];TradeManager/SettTrade/PBuyer/PSeller komplett umgangen -- Mod-Settlement via Fiscal.settlePurchase (C8 Rebuttal: Mod-Pfad ersetzt bewusst Engine-Trade-Layer). Trade-Toll laeuft parallel -- Doppelhandelskosten moeglich. StatsLaw lesbar (alle 5 HEBEL K1-K5 + K6 CRIMES public final) aber komplett ignoriert. Mod implementiert CorveeController/PovertyPressure/HealthPressure als Ersatz.;??
A1;price-Array Override;double[];ResourcePrices;price[TR.ALL().size()];static;nein;nein;[x];Mod-Polity-Layer statt Override;??
A1;get(TRADABLE) public;public;ResourcePrices;get(TRADABLE);static;ja;ja;[x];Aufgerufen in PolityPriceAnchor.priceOf();++
A2;lastCheck[] cache;int[];ResourcePrices;lastCheck[];static;nein;nein;[x];Mod ignoriert (FlowPrices.refresh());??
A2;16-Update-Refresh-Intervall;Math.abs;ResourcePrices;Math.abs(lastCheck - GAME.updateI()) > 16;static;nein;nein;[x];Mod-scarcityRefreshDays=60 statt;??
A3;AVERAGE_PRICE = 400;int 400;NPCStockpile;AVERAGE_PRICE;static;nein;nein;[x];Mod-priceClampHi=100 = 25% davon;++
A3;GAME_THEORY = 20;int 20;NPCStockpile;GAME_THEORY;static;nein;nein;[x];5% von 400;??
A3;NPCRes.priceBase;int;NPCRes;priceBase() = 400/totRate + 20;static;nein;nein;[x];Mod hat PolityPriceAnchor stattdessen;??
A4;PolityPriceAnchor.priceOf;int;PolityPriceAnchor;priceOf(RESOURCE);static;ja;ja;[x];Mod-Quelle für alle Preise;++
A4;FACTIONS.PRICE().get-Fallback;double;PolityPriceAnchor;FACTIONS.PRICE().get();static;ja;ja;[x];statischer Lookup;++
A5;refresh Alle 60 Tage;void;FlowPrices;refresh();static;ja;ja;[x];flowPriceRefreshDays=60;++
A5;localPrice = anchor*pow;double;FlowPrices;anchor * pow(COVERAGE_FLOOR=0.005, coverage), -elasticity;static;ja;ja;[x];UP-Branch bei coverage<1.0;++
A5;FlowPrices.price(good);double;FlowPrices;price(good);direct;ja;ja;[x];Refresh flowPriceRefreshDays=0.2 Tage;++
