Domain;Kategorie;String;Typ;Quelle-Klasse;Quelle-Pfad;Bundle-Gruppe;Funktionsvorschlag
ECONOMY;Preise;ResourcePrices;Class;ResourcePrices;jar-extract/game/faction/trade/ResourcePrices.java;Preis-System;priceOf(res) → PolityPriceAnchor kapseln
ECONOMY;Preise;price[];Field;ResourcePrices;jar-extract/game/faction/trade/ResourcePrices.java;Preis-System;double[] Cache — Mod nutzt FlowPrices stattdessen
ECONOMY;Preise;lastCheck[];Field;ResourcePrices;jar-extract/game/faction/trade/ResourcePrices.java;Preis-System;int[] Timestamp-Cache — 16-Tick-Refresh
ECONOMY;Preise;get(TRADABLE);Method;ResourcePrices;jar-extract/game/faction/trade/ResourcePrices.java;Preis-System;NPC-gewichteter Preis → getWorldPrice()
ECONOMY;Preise;edible();Method;ResourcePrices;jar-extract/game/faction/trade/ResourcePrices.java;Preis-System;Essenspreis-Durchschnitt → foodBasketPrice()
ECONOMY;Preise;edibleLow();Method;ResourcePrices;jar-extract/game/faction/trade/ResourcePrices.java;Preis-System;Günstigstes Essen → scarcitySignal
ECONOMY;Preise;AVERAGE_PRICE;Constant;NPCStockpile;jar-extract/game/faction/trade/ResourcePrices.java;Preis-System;400 = Fallback wenn kein NPC handelt
ECONOMY;Preise;FACTIONS.PRICE().get();Method;FACTIONS;vanilla-schema.yaml;Preis-System;Vanilla-Weltmarktpreis → PolityPriceAnchor Fallback
ECONOMY;Trade;PTrade;Class;PTrade;jar-extract/game/faction/player/PTrade.java;Trade-Layer;pricesBuy/Sell → Mod ersetzt via Fiscal.settlePurchase
ECONOMY;Trade;pricesBuy;Field;PTrade;jar-extract/game/faction/player/PTrade.java;Trade-Layer;HistoryTradable — Vanilla-Import-Kosten
ECONOMY;Trade;pricesSell;Field;PTrade;jar-extract/game/faction/player/PTrade.java;Trade-Layer;HistoryTradable — Vanilla-Export-Erlös
ECONOMY;Trade;pricesAve;Field;PTrade;jar-extract/game/faction/player/PTrade.java;Trade-Layer;HistoryTradable — Durchschnitt
ECONOMY;Trade;unitsImported;Field;PTrade;jar-extract/game/faction/player/PTrade.java;Trade-Layer;HistoryTradable — Import-Menge
ECONOMY;Trade;unitsExported;Field;PTrade;jar-extract/game/faction/player/PTrade.java;Trade-Layer;HistoryTradable — Export-Menge
ECONOMY;Trade;priceImported;Field;PTrade;jar-extract/game/faction/player/PTrade.java;Trade-Layer;HistoryTradable — Import-Gesamtkosten
